id,data_source,question,passed,success,row_count,wall_time,sql_contains_ok,sql,error
gauss_monthly_2024_sales,gauss_ecommerce,按月统计 2024 年订单总金额。,True,True,5,1.562,True,"SELECT
  TO_CHAR(order_date, 'YYYY-MM') AS month,
  SUM(total_amount) AS total_order_amount
FROM orders
WHERE
  EXTRACT(YEAR FROM order_date) = 2024
GROUP BY
  TO_CHAR(order_date, 'YYYY-MM')
ORDER BY
  month
LIMIT 1000",
dameng_city_customer_count,dameng_ecommerce,统计每个城市的客户数量，按数量降序排列。,True,True,5,4.314,True,"SELECT
  CITY,
  COUNT(ID) AS customer_count
FROM CUSTOMERS
GROUP BY
  CITY
ORDER BY
  customer_count DESC
FETCH FIRST 1000 ROWS ONLY",
dameng_top_customers_amount,dameng_ecommerce,列出每个客户的总消费金额，按金额降序取前 10 名。,True,True,5,9.072,True,"WITH CustomerTotalSpent AS ( SELECT o.CUSTOMER_ID, SUM(o.TOTAL_AMOUNT) AS total_spent FROM ORDERS o GROUP BY o.CUSTOMER_ID ) SELECT c.ID, c.NAME, ct.total_spent FROM Customers c JOIN CustomerTotalSpent ct ON c.ID = ct.CUSTOMER_ID ORDER BY ct.total_spent DESC LIMIT 10;",
dameng_iphone_customers,dameng_ecommerce,查找买过 iPhone 15 Pro 的客户姓名和城市。,True,True,0,3.56,True,"SELECT
  c.NAME,
  c.CITY
FROM CUSTOMERS c
JOIN ORDERS o
  ON c.ID = o.CUSTOMER_ID
JOIN ORDER_ITEMS oi
  ON o.ID = oi.ORDER_ID
JOIN PRODUCTS p
  ON oi.PRODUCT_ID = p.ID
WHERE
  p.NAME = 'iPhone 15 Pro'
FETCH FIRST 1000 ROWS ONLY",
dameng_monthly_2024_sales,dameng_ecommerce,按月统计 2024 年订单总金额。,True,True,5,4.017,True,"SELECT
  TO_CHAR(ORDER_DATE, 'YYYY-MM') AS month,
  SUM(TOTAL_AMOUNT) AS total_amount
FROM ORDERS
WHERE
  ORDER_DATE >= '2024-01-01' AND ORDER_DATE < '2025-01-01'
GROUP BY
  TO_CHAR(ORDER_DATE, 'YYYY-MM')
ORDER BY
  month
FETCH FIRST 1000 ROWS ONLY",
hadoop_city_gmv,hive_hadoop_demo,统计每个城市的销售总额 Top 5。,True,True,5,1.708,True,"SELECT
  T2.city,
  SUM(T1.gmv)
FROM hadoop_order_events AS T1
JOIN hadoop_region_dim AS T2
  ON T1.region_id = T2.region_id
GROUP BY
  T2.city
ORDER BY
  SUM(T1.gmv) DESC
LIMIT 5",
hadoop_vip_gmv,hive_hadoop_demo,统计 VIP 5 用户贡献的成交金额。,True,True,1,1.614,True,"SELECT
  SUM(gmv)
FROM hadoop_order_events AS T1
INNER JOIN hadoop_user_profiles AS T2
  ON T1.user_id = T2.user_id
WHERE
  T2.vip_level = 5
LIMIT 1000",
hadoop_brand_monthly_sales,hive_hadoop_demo,统计各品牌每月销量趋势。,True,True,29,7.286,True,"SELECT
  p.brand,
  SUBSTRING(e.event_date, 1, 7) AS month,
  SUM(e.order_count) AS total_sales
FROM hadoop_order_events AS e
JOIN hadoop_product_dim AS p
  ON e.product_id = p.product_id
GROUP BY
  p.brand,
  SUBSTRING(e.event_date, 1, 7)
ORDER BY
  p.brand,
  month
LIMIT 1000",
hadoop_region_order_amount,hive_hadoop_demo,统计每个省份的订单数和成交金额。,True,True,7,3.891,True,"SELECT
  T2.province,
  SUM(T1.order_count),
  SUM(T1.gmv)
FROM hadoop_order_events AS T1
INNER JOIN hadoop_region_dim AS T2
  ON T1.region_id = T2.region_id
GROUP BY
  T2.province
LIMIT 1000",
rest_amap_weather,rest_api_demo,北京东城区天气怎么样？,True,True,1,1.998,True,GET /v3/weather/weatherInfo,
rest_amap_distance,rest_api_demo,天安门到望京 SOHO 的距离是多少？,True,True,1,1.707,True,GET /v3/distance,
rest_amap_geocode,rest_api_demo,天安门的经纬度是多少？,True,True,1,0.257,True,GET /v3/geocode/geo,
graphql_continent_count,countries_graphql,统计每个洲分别有多少个国家。,True,True,7,3.539,True,"SELECT
  continent_name,
  COUNT(*) AS country_count
FROM countries
GROUP BY
  continent_name
LIMIT 1000",
graphql_asia_capitals,countries_graphql,列出亚洲国家的名称、首都和货币。,True,True,52,2.173,True,"SELECT
  name,
  capital,
  currency
FROM countries
WHERE
  continent_name = 'Asia'
LIMIT 1000",
graphql_english_usd,countries_graphql,找出使用 English 且货币包含 USD 的国家，显示国家、首都和所属洲。,True,True,14,1.941,True,"SELECT
  name,
  capital,
  continent_name
FROM countries
WHERE
  languages LIKE '%English%' AND currency LIKE '%USD%'
LIMIT 1000",
graphql_currency_country_count,countries_graphql,统计每种货币对应的国家数量，按数量降序排列。,True,True,160,2.12,True,"SELECT
  currency,
  COUNT(*) AS country_count
FROM countries
GROUP BY
  currency
ORDER BY
  country_count DESC
LIMIT 1000",
